epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.173,1.14939,0.98325,1.41222,0.7454,0.77023,0.8048,0.50113,1.37329,1.0811,1.57081,0.0017,0.0017,0.0017
2,816.781,1.14931,0.99688,1.36474,0.75734,0.72116,0.74354,0.4704,1.44965,1.15262,1.63253,0.0031535,0.0031535,0.0031535
3,1225.25,1.1223,1.03181,1.39197,0.67482,0.76442,0.7795,0.48575,1.38988,1.13713,1.60947,0.0042506,0.0042506,0.0042506
4,1632.68,1.1394,0.99629,1.36524,0.72433,0.76102,0.75047,0.44165,1.48437,1.20332,1.73059,0.0049913,0.0049913,0.0049913
5,2041.46,1.14514,0.94505,1.39141,0.64665,0.80383,0.78259,0.47625,1.4166,1.19475,1.66297,0.0053756,0.0053756,0.0053756
6,2449.72,1.14113,0.99222,1.39578,0.72387,0.77202,0.75374,0.46075,1.43412,1.16101,1.6865,0.00505,0.00505,0.00505
7,2856.99,1.08905,0.94744,1.37516,0.73038,0.68372,0.75899,0.44331,1.42041,1.15696,1.70152,0.00406,0.00406,0.00406
8,3260.29,1.0521,0.90325,1.32989,0.77271,0.79185,0.80832,0.50666,1.36173,1.04564,1.61478,0.00307,0.00307,0.00307
9,3674.22,1.04847,0.9146,1.3087,0.80273,0.70442,0.78902,0.49332,1.34989,1.04582,1.62517,0.00208,0.00208,0.00208
10,4085.33,1.0222,0.83199,1.28243,0.69429,0.84186,0.81123,0.51828,1.34119,1.03533,1.61053,0.00109,0.00109,0.00109
